"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","Management","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"7689",1.59067069522324,NA,NA,NA,-0.0801627343284025,NA,NA,NA,NA,NA,"+",0.448493158880958,0.0752369731738591,0.207280895443472,NA,11,-135.301636080675,294.423961816523,57.7457081928183,1.40345706602592e-14
"8726",1.50707975463921,0.291286686530686,NA,-0.337384862582363,NA,-0.0427227543704155,NA,NA,NA,NA,"+",NA,NA,NA,0.664109656365648,11,-135.308969830292,294.438629315757,57.7603756920522,1.39320211289736e-14
"10385",1.53080666436366,NA,NA,NA,NA,-0.0109313199394717,NA,NA,0.424360053457566,NA,NA,NA,0.148361077491116,NA,0.388653807962434,10,-136.475347546448,294.457544407965,57.77929078426,1.38008795132619e-14
"7181",1.59615926290451,NA,NA,0.0129587375879557,-0.0842844457306609,NA,NA,NA,NA,NA,NA,0.443916636265998,0.0768746580977643,0.215195464068786,NA,11,-135.331044197359,294.48277804989,57.8045244261853,1.36278501230238e-14
"1589",1.57557130410965,NA,NA,-0.181949377682819,NA,-0.168759404275473,0.0349729550616716,NA,NA,NA,"+",0.699335514691632,NA,NA,NA,11,-135.342183160355,294.505055975883,57.8268023521779,1.34768923223186e-14
"10793",1.54987578328659,NA,NA,NA,-0.394767008219876,NA,0.143784475226158,NA,NA,NA,"+",NA,0.397661285775294,NA,0.715355209394713,11,-135.346840517476,294.514370690125,57.8361170664197,1.34142715587154e-14
"8706",1.54450354715365,0.292716978997754,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,0.653475713816415,9,-137.648995910506,294.52248161693,57.8442279932248,1.33599806331772e-14
"8866",1.53139444633887,0.247213353387704,NA,NA,NA,NA,-0.00857090964886317,NA,0.392516473097064,NA,"+",NA,NA,NA,0.46012355619511,11,-135.357326817954,294.535343291081,57.8570896673759,1.32743404386036e-14
"1565",1.57906251772002,NA,NA,-0.195885207973769,-0.0484850184423642,-0.189748267938278,NA,NA,NA,NA,"+",0.699724027745765,NA,NA,NA,11,-135.391359663258,294.603408981688,57.9251553579828,1.2830177792808e-14
"1085",1.56769475509486,NA,NA,-0.181781582589746,-0.0413444821476543,-0.176365888650353,0.023105874007462,NA,NA,NA,NA,0.702040449070747,NA,NA,NA,11,-135.409664729954,294.64001911508,57.9617654913749,1.25974570154796e-14
"4745",1.55607585178734,NA,NA,NA,-0.0389329214792696,NA,NA,NA,0.316051851368426,NA,"+",NA,NA,0.436590244039795,NA,10,-136.580470306891,294.66778992885,57.9895363051456,1.242374502099e-14
"4641",1.5625972805167,NA,NA,NA,NA,NA,0.0891634899084532,NA,NA,NA,"+",NA,NA,0.626713377896651,NA,9,-137.723855163834,294.672200123586,57.9939464998814,1.23963796363023e-14
"1701",1.55908599281621,NA,NA,-0.0666835421425829,NA,NA,0.125214460015007,NA,0.187664640010343,NA,"+",0.556843568651519,NA,NA,NA,11,-135.435462908737,294.691615472646,58.0133618489407,1.22766218427741e-14
"6309",1.56468789736275,NA,NA,0.108395369966937,NA,NA,0.259793156468211,NA,0.385052552733194,NA,NA,NA,0.210253022255335,0.437223003816867,NA,11,-135.454352227095,294.729394109362,58.0511404856569,1.20469012872163e-14
"6149",1.59582916610505,NA,NA,0.0737873127949497,NA,NA,NA,NA,NA,NA,NA,NA,0.0479927413755589,0.611769402055063,NA,9,-137.752577389156,294.72964457423,58.0513909505249,1.20453927189086e-14
"3625",1.59984840395105,NA,NA,NA,-0.0734003556629064,NA,0.152540731807508,NA,NA,NA,"+",0.635825716641638,0.170982071835056,NA,NA,11,-135.455081515075,294.730852685323,58.0525990616185,1.20381188297614e-14
"4613",1.57879045996556,NA,NA,0.0735827390908119,NA,NA,NA,NA,NA,NA,"+",NA,NA,0.626876462909586,NA,9,-137.77045114258,294.765392081079,58.0871384573744,1.18320090042932e-14
"4237",1.5432738747919,NA,NA,-0.00341862295405215,-0.0367176295278759,NA,NA,NA,0.311577174237423,NA,NA,NA,NA,0.436712798567397,NA,10,-136.637996302359,294.782841919786,58.1045882960813,1.17292247242491e-14
"6153",1.59290764766096,NA,NA,NA,-0.0652560682961431,NA,NA,NA,NA,NA,NA,NA,0.078604656432039,0.57411981279024,NA,9,-137.786690102557,294.797870001033,58.1196163773279,1.16414211461386e-14
"4658",1.59161458677839,0.307018559368815,NA,NA,NA,-0.126830725245193,-0.102632481853236,NA,NA,NA,"+",NA,NA,0.657870145377002,NA,11,-135.502668442765,294.826026540703,58.1477729169977,1.14786783345179e-14
"3117",1.61416937403703,NA,NA,0.0181717518991393,-0.0791050973618313,NA,0.157320492532213,NA,NA,NA,NA,0.639264340458687,0.176071279521654,NA,NA,11,-135.513092214483,294.846874084137,58.1686204604326,1.13596486587868e-14
"6657",1.5726332087451,NA,NA,NA,NA,NA,NA,NA,NA,NA,"+",NA,0.0506102066221741,0.582386449012372,NA,9,-137.822053727629,294.868597251176,58.1903436274712,1.12369325382661e-14
"1713",1.57411487382469,NA,NA,NA,NA,-0.0613632643531434,0.127758106907523,NA,0.164910076260993,NA,"+",0.611174008293817,NA,NA,NA,11,-135.539733552892,294.900156760957,58.2219031372522,1.10610081692278e-14
"3633",1.60147450243236,NA,NA,NA,NA,-0.0726503487642227,0.153359147032111,NA,NA,NA,"+",0.667509693110222,0.147766735623831,NA,NA,11,-135.541798253014,294.904286161201,58.2260325374958,1.10381940645603e-14
"4109",1.59200951628575,NA,NA,0.0844523404937378,-0.0507855606325637,NA,NA,NA,NA,NA,NA,NA,NA,0.632969591455139,NA,9,-137.845383710676,294.91525721727,58.2370035935654,1.09778095135587e-14
"7685",1.58069846700231,NA,NA,-0.0110987929276097,NA,NA,NA,NA,NA,NA,"+",0.446776720361254,0.030555818276143,0.219677764788437,NA,11,-135.560796148361,294.942281951894,58.2640283281895,1.08304710069386e-14
"4137",1.57406744455381,NA,NA,NA,-0.00265399973669335,NA,0.0878243861968239,NA,NA,NA,NA,NA,NA,0.627208430699153,NA,9,-137.894223517961,295.01293683184,58.3346832081352,1.04545376708767e-14
"5645",1.58340368942148,NA,NA,-0.00146320538537548,-0.0498686851452686,NA,NA,NA,NA,NA,"+",0.450893779301342,NA,0.231084917798269,NA,11,-135.614130748515,295.048951152203,58.3706975284983,1.02679659908928e-14
"1197",1.54989022708498,NA,NA,-0.0660666006026124,0.0033242342139174,NA,0.127421726335691,NA,0.182886756631423,NA,NA,0.559842881288366,NA,NA,NA,11,-135.616062416073,295.052814487318,58.3745608636135,1.02481508384108e-14
