"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"1237",2.53231955717564,NA,NA,-0.0441768507457831,NA,-0.0752662885604677,NA,0.121726851135113,0.242963255087169,NA,NA,-0.0434681839268271,NA,NA,9,-2.46775260743452,25.0531522736926,46.1271752684686,4.19391961832446e-11
"6722",2.58176619546179,0.174654264948231,NA,NA,NA,NA,NA,0.154826446116408,NA,NA,-0.00557616371738618,NA,0.0063566180526843,0.0640020241701775,9,-2.48651118055903,25.0906694199416,46.1646924147177,4.11598096488479e-11
"4313",2.54021135322472,NA,NA,NA,-0.0331923420500263,-0.0746615384284647,NA,0.103491242156262,0.210881478302315,NA,NA,NA,NA,0.0474018480360821,9,-2.49146422972228,25.1005755182681,46.1745985130442,4.09564471361213e-11
"6801",2.53993053405538,NA,NA,NA,NA,-0.0481052496311711,NA,NA,0.314516157278721,NA,-0.112567611777696,NA,0.036204499661839,0.0923422191657969,9,-2.49165943112136,25.1009659210663,46.1749889158423,4.0948453160582e-11
"6154",2.60685838883738,0.155669881849989,NA,NA,0.0382262615981211,NA,NA,NA,NA,NA,NA,NA,0.0144057030948798,0.122349990604544,8,-3.71757180952926,25.1095622237097,46.1835852184858,4.07728282141815e-11
"6178",2.59959242409123,0.113106832035969,NA,NA,NA,NA,0.0535312576371049,NA,NA,NA,NA,NA,0.0219088100096628,0.148034768380996,8,-3.71794100792253,25.1103006204962,46.1843236152723,4.07577777299939e-11
"221",2.53780765766415,NA,NA,-0.0317878152627549,-0.0208633848924095,-0.0807347184671024,NA,0.114584161709257,0.240662453046646,NA,NA,NA,NA,NA,9,-2.499573636289,25.1167943314015,46.1908173261776,4.06256577204881e-11
"41",2.5901523922418,NA,NA,NA,-0.00695903886485804,NA,0.0388977310535907,NA,NA,NA,NA,NA,NA,NA,6,-6.0946453681066,25.1438361907586,46.2178591855347,4.00800578798287e-11
"6789",2.53107003248852,NA,NA,0.0157440004442522,NA,NA,NA,NA,0.31718047241889,NA,-0.104415573548737,NA,-0.000838896597983556,0.0885050880903117,9,-2.5193614715061,25.1563700018357,46.2303929966118,3.98296653557591e-11
"1570",2.63481500496094,0.239959908544832,NA,NA,NA,NA,0.0788814374175441,NA,NA,NA,0.0868795594555708,0.156531177916649,NA,NA,8,-3.74534347465386,25.1651055539589,46.239128548735,3.96560776689169e-11
"4205",2.54504549718445,NA,NA,0.0479987110903008,-0.085556228049163,NA,0.14171611705272,0.189492059035428,NA,NA,NA,NA,NA,0.137383140427076,9,-2.52628515399924,25.170217366822,46.2442403615981,3.95548498644579e-11
