"Management","Depth_m.rescale","Habitat","Complexity.rescale","no_genera.rescale","Rao.rescale","CWMBranching.rescale","StressTolerant.rescale"
"Biom-Fished",NA,NA,1,0.119927217405281,NA,NA,NA
"Biom-Reserve",0.0978763403670342,0.648421337182822,0.914954047699501,NA,0.0653493359819839,0.0518756643271707,0.0995620575835787
