"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","Management","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"4737",1.55367156296748,NA,NA,NA,NA,NA,NA,NA,0.314667123706255,NA,"+",NA,NA,0.435925985231346,NA,9,-135.220611449513,289.665712694944,52.9874590712387,1.51509477310568e-13
"1077",1.56619929753105,NA,NA,-0.181757196174063,NA,-0.167660560861043,0.0363089343527928,NA,NA,NA,NA,0.700203608838286,NA,NA,NA,10,-134.09111393299,289.689077181049,53.0108235573437,1.49749805242798e-13
"8214",1.4983423174668,0.291166022695009,NA,-0.33574454902207,NA,-0.0435897209903375,NA,NA,NA,NA,NA,NA,NA,NA,0.663356751184881,10,-134.094495348241,289.695840011551,53.0175863878458,1.49244294120683e-13
"12813",1.52952102592374,NA,NA,-0.0673583423837677,-0.190482288529142,NA,NA,NA,NA,NA,"+",NA,NA,0.351695065961278,0.48155393119568,11,-132.938138432589,289.69696652035,53.0187128966452,1.49160255285232e-13
"1053",1.56675186031894,NA,NA,-0.196365462544204,-0.0475390470866454,-0.18897206920379,NA,NA,NA,NA,NA,0.699590262780168,NA,NA,NA,10,-134.141517724501,289.78988476407,53.1116311403654,1.42388914015834e-13
"14469",1.50009277576548,NA,NA,-0.13378351485799,NA,NA,NA,NA,0.243896913341844,NA,NA,NA,0.0313519061454532,0.24695492802815,0.366217442243199,11,-132.995150086872,289.810989828916,53.1327362052115,1.4089425049657e-13
"2214",1.61097441376071,0.54299906339218,NA,-0.115322704548007,NA,NA,-0.0897990262281985,NA,0.483001416698005,NA,NA,NA,0.515191193896482,NA,NA,11,-133.004679695957,289.830049047086,53.1517954233809,1.39557960639774e-13
"4229",1.54078862985725,NA,NA,-0.0137277255996927,NA,NA,NA,NA,0.314914923657458,NA,NA,NA,NA,0.430106392272272,NA,9,-135.304238759149,289.832967314216,53.1547136905115,1.39354475427258e-13
"10889",1.54382834257571,NA,NA,NA,-0.34837999392846,NA,NA,NA,0.323091307569877,NA,"+",NA,0.290174667416558,NA,0.520325651896359,11,-133.00745192748,289.835593510132,53.1573398864267,1.39171609436944e-13
"12849",1.52670660257966,NA,NA,NA,NA,-0.121713108111217,0.114053756105198,NA,NA,NA,"+",NA,NA,0.526893240652269,0.379868781115272,11,-133.02358979855,289.867869252272,53.1896156285668,1.36943701146745e-13
"8194",1.54779480316106,0.296040115195759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.653978066966713,8,-136.447702336775,289.868377646523,53.1901240228182,1.36908894875543e-13
"10405",1.48711230770528,NA,NA,-0.19160829353261,NA,NA,0.213985825996004,NA,0.446997986349853,NA,NA,NA,0.195073349114437,NA,0.437230037557915,11,-133.038690306527,289.898070268227,53.2198166445224,1.34891316718274e-13
"4146",1.58542766093238,0.307135110470146,NA,NA,NA,-0.127986559975825,-0.100625380152048,NA,NA,NA,NA,NA,NA,0.660655470765155,NA,10,-134.208785041767,289.924419398603,53.2461657748984,1.33125837519265e-13
