"trophic","X","Intercept","Depth_m.rescale","Habitat","Management","Complexity.rescale","no_genera.rescale","Rao.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Competitive.rescale","Generalist.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"Planktivore",203,1.36704746102563,0.48191982853296,NA,NA,0.504254684445855,NA,NA,NA,-0.120488185645136,NA,NA,NA,0.283973894313804,NA,NA,10,-109.406768897474,240.320387110016,3.6421334863112,0.00786395653719454
"Planktivore",8388,1.38487940085267,0.495403337610646,NA,NA,0.389114004577915,NA,NA,NA,NA,NA,NA,0.193393935970444,0.193416667477109,NA,0.185449421322964,11,-108.264534760849,240.349759176871,3.6715055531657,0.00774931011974516
"Planktivore",4363,0.855773678927661,NA,"+",NA,0.369443569897445,NA,NA,NA,-0.143727398073618,NA,NA,NA,NA,0.279632344901642,NA,11,-108.281807534585,240.384304724343,3.70605110063852,0.00761660741065814
"Planktivore",9291,1.39655590172101,0.436206234884508,NA,NA,0.454623354441428,0.117571047751123,NA,NA,-0.22515978494208,NA,NA,NA,NA,NA,0.278953385052428,11,-108.287425941212,240.395541537597,3.71728791389248,0.0075739342030767
"Planktivore",1284,0.929640676852813,NA,"+",NA,0.303687132138617,0.280218827374891,NA,NA,NA,NA,NA,0.177787655597366,NA,NA,NA,11,-108.307400405431,240.435490466034,3.75723684232955,0.00742414983661569
"Planktivore",451,1.21948833952207,0.465249900429775,"+",NA,0.448277613485276,NA,NA,NA,NA,NA,NA,NA,0.277586996474238,NA,NA,11,-108.319365532433,240.459420720039,3.78116709633443,0.0073358482641665
"Planktivore",12363,1.39147811332656,0.437329467525009,NA,NA,0.457980575874694,NA,NA,NA,-0.224933328052455,NA,NA,NA,NA,0.111293361314375,0.292362312504483,11,-108.320167123487,240.461023902146,3.78277027844078,0.00732997027001899
"Planktivore",9284,1.41839996917455,0.470405825915948,NA,NA,0.363138303969742,0.172227558802017,NA,NA,NA,NA,NA,0.212186647626439,NA,NA,0.196783501051839,11,-108.384121364565,240.588932384303,3.91067876059785,0.00687586338458355
"Planktivore",4482,0.769625813401437,NA,"+",NA,NA,NA,NA,NA,NA,NA,NA,0.258845854384979,0.148480199654715,0.319917381168608,NA,11,-108.390524480239,240.601738615651,3.92348499194654,0.00683197709042441
"Planktivore",5378,0.794494454718417,NA,"+",NA,NA,0.148189641186412,NA,NA,NA,NA,NA,0.266090026315344,NA,0.28345855216444,NA,11,-108.393846277355,240.608382209883,3.93012858617769,0.00680932030009569
"Planktivore",1347,1.20384365637357,0.391225437230615,"+",NA,0.41172324185627,0.24913262680941,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,-108.400825869861,240.622341394895,3.94408777119051,0.0067619594909934
