"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","Management","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"773",0.987177445920696,NA,NA,-0.280425350527035,NA,NA,NA,NA,NA,"+","+",NA,NA,NA,NA,10,-180.484678622245,382.476206559559,4.49419518954403,0.00780996675710501
"613",1.3553539152772,NA,NA,-0.328341378110277,NA,NA,-0.0397986236553332,0.635500191368012,NA,NA,"+",NA,NA,NA,NA,10,-180.487117049095,382.481083413258,4.49907204324279,0.00779094592435107
"589",1.35040078949915,NA,NA,-0.312087385101695,0.00374014709192473,NA,NA,0.6480684907643,NA,NA,"+",NA,NA,NA,NA,10,-180.516909955415,382.540669225899,4.55865785588423,0.00756225460738172
"8769",1.37803341867562,NA,NA,NA,NA,NA,NA,0.782114144546951,NA,NA,"+",NA,NA,NA,-0.111644016575643,9,-181.66383937077,382.552168537458,4.5701571674432,0.00751889900580441
"705",1.38269088468541,NA,NA,NA,NA,NA,NA,0.775236141708045,-0.0987799926233253,NA,"+",NA,NA,NA,NA,9,-181.702606745371,382.629703286661,4.64769191664652,0.00723298883205065
"12865",1.40277330735598,NA,NA,NA,NA,NA,NA,0.684708375564024,NA,NA,"+",NA,NA,0.27487324147191,-0.240277242045126,10,-180.595365634596,382.69758058426,4.71556921424485,0.00699162983014948
"5705",1.36225516483613,NA,NA,NA,-0.0738732245202972,NA,NA,0.729197741298203,NA,NA,"+",-0.485471134959997,NA,0.543978364656618,NA,11,-179.506807703627,382.834305062426,4.85229369241131,0.00652963767777385
"585",1.37541651295554,NA,NA,NA,-0.0811072688979292,NA,NA,0.749757212522803,NA,NA,"+",NA,NA,NA,NA,9,-181.837050726838,382.898591249595,4.9165798795799,0.00632309221084983
"5729",1.35386303139999,NA,NA,NA,NA,NA,0.0695676306633521,0.726651562855346,NA,NA,"+",-0.475740627550547,NA,0.552241202662277,NA,11,-179.561164661927,382.943018979026,4.96100760901174,0.00618418049115179
"2627",1.39707399092346,NA,0.250109990444674,NA,NA,NA,NA,0.504759846234682,NA,NA,"+",NA,0.226780511985954,NA,NA,10,-180.74258046603,382.992010247129,5.00999887711464,0.0060345353775337
"2633",1.44282093906412,NA,NA,NA,-0.206881002052723,NA,NA,0.600354646033638,NA,NA,"+",NA,0.336475658935722,NA,NA,10,-180.8039972314,383.114843777868,5.1328324078529,0.0056750654607535
"609",1.36589802180427,NA,NA,NA,NA,NA,0.0693435202848881,0.755911976957717,NA,NA,"+",NA,NA,NA,NA,9,-181.955152201884,383.134794199686,5.15278282967176,0.00561873689758614
"1601",1.37002210012678,NA,NA,NA,NA,NA,NA,0.772398744780647,NA,NA,"+",-0.0553331110358613,NA,NA,NA,9,-181.990670805817,383.205831407553,5.22382003753808,0.0054226698335918
"5698",1.361589048331,-0.00408835702947008,NA,NA,NA,NA,NA,0.721983765588686,NA,NA,"+",-0.490128873810932,NA,0.545033622088615,NA,11,-179.729579471788,383.279848598748,5.29783722873333,0.00522565259070959
"578",1.37654855569688,-0.0333458327996442,NA,NA,NA,NA,NA,0.736253582897978,NA,NA,"+",NA,NA,NA,NA,9,-182.053889188424,383.332268172767,5.3502568027526,0.00509046865901052
"2657",1.415562342572,NA,NA,NA,NA,NA,0.183447171236399,0.622768177826123,NA,NA,"+",NA,0.327932682794407,NA,NA,10,-181.034694439115,383.576238193299,5.59422682328409,0.00450588756998795
"595",1.35323208292528,NA,0.238235270484584,NA,NA,0.17235199260601,NA,0.570137721755853,NA,NA,"+",NA,NA,NA,NA,10,-181.037373671801,383.58159665867,5.59958528865491,0.00449383140657908
"10817",1.43428592967633,NA,NA,NA,NA,NA,NA,0.671270769895658,NA,NA,"+",NA,0.270640619059414,NA,-0.16653587522744,10,-181.150606389463,383.808062093995,5.82605072398019,0.00401273454436394
"8771",1.35260187636372,NA,0.295339181530461,NA,NA,NA,NA,0.649872502034365,NA,NA,"+",NA,NA,NA,-0.162290032997893,10,-181.165462603085,383.837774521239,5.85576315122387,0.00395356113748033
"707",1.35986714862941,NA,0.290719297533028,NA,NA,NA,NA,0.646857587236141,-0.159652806859965,NA,"+",NA,NA,NA,NA,10,-181.250066016958,384.006981348984,6.02496997896924,0.00363283491818987
"2881",1.3949997136832,NA,NA,NA,NA,NA,NA,0.785913358552807,NA,"+","+",NA,0.187404658753605,NA,NA,11,-180.118485376553,384.057660408278,6.07564903826312,0.00354193710763653
"2641",1.41177623096284,NA,NA,NA,NA,0.14369711311686,NA,0.60946529717365,NA,NA,"+",NA,0.179310881349246,NA,NA,10,-181.352517745101,384.211884805271,6.2298734352562,0.00327907570206911
"1603",1.33120014541552,NA,0.316361499475695,NA,NA,NA,NA,0.658936165802304,NA,NA,"+",-0.14058386890891,NA,NA,NA,10,-181.377904259182,384.262657833432,6.2806464634175,0.00319687915688432
"2631",1.37659383350914,NA,0.15551478216558,-0.251720071126076,NA,NA,NA,0.50239835742055,NA,NA,"+",NA,0.178962789102784,NA,NA,11,-180.225969871648,384.272629398468,6.29061802845365,0.00318097988077334
"4675",1.37029268283435,NA,0.174436223006615,NA,NA,NA,NA,0.58467713336672,NA,NA,"+",NA,NA,0.131480704737769,NA,10,-181.434529720272,384.375908755613,6.39389738559851,0.00302088431893544
"3653",1.37516836799985,NA,NA,-0.300036476100439,NA,NA,NA,0.626787148003545,NA,NA,"+",-0.139011370445417,0.213354609857174,NA,NA,11,-180.320176951996,384.461043559164,6.47903218914905,0.00289499159456048
"4929",1.32290911062775,NA,NA,NA,NA,NA,NA,0.714947403902385,NA,"+","+",NA,NA,0.14742594087727,NA,11,-180.328590369067,384.477870393307,6.49585902329181,0.00287073699794871
"839",1.3177036808657,NA,0.241248017230387,-0.192735297848783,NA,NA,NA,0.717285480856521,NA,"+","+",NA,NA,NA,NA,12,-179.165990981982,384.49864863063,6.51663726061537,0.0028410669602675
"6721",1.41702482247379,NA,NA,NA,NA,NA,NA,0.597349245201404,NA,NA,"+",NA,0.158459435273053,0.126559215271745,NA,10,-181.496206246476,384.49926180802,6.5172504380057,0.00284019605476698
"775",0.991412095960149,NA,0.258348580165944,-0.205059873830846,NA,NA,NA,NA,NA,"+","+",NA,NA,NA,NA,11,-180.350493333067,384.521676321306,6.539664951291,0.00280854295219643
"4865",1.00395995237551,NA,NA,NA,NA,NA,NA,NA,NA,"+","+",NA,NA,0.178978400322721,NA,10,-181.510176431912,384.527202178892,6.54519080887746,0.00280079385803404
"8785",1.38011804378047,NA,NA,NA,NA,0.206061257660688,NA,0.732781306376335,NA,NA,"+",NA,NA,NA,-0.148478568459657,10,-181.525910071732,384.558669458533,6.57665808851834,0.00275707202993996
"2817",1.0412788339746,NA,NA,NA,NA,NA,NA,NA,NA,"+","+",NA,0.206339881974745,NA,NA,10,-181.533059070868,384.572967456804,6.59095608678945,0.0027374320112666
"1859",1.26618232480931,NA,0.434631428758589,NA,NA,NA,NA,0.799505456833556,NA,"+","+",-0.176329086255114,NA,NA,NA,12,-179.203158103944,384.572982874555,6.59097150454005,0.00273741090882592
"721",1.38592395122167,NA,NA,NA,NA,0.206493324183219,NA,0.729518506884249,-0.15004173400469,NA,"+",NA,NA,NA,NA,10,-181.551574786988,384.609998889044,6.62798751902892,0.00268721285379921
"849",1.30955918162241,NA,NA,NA,NA,0.144656021949042,NA,0.738425408323442,NA,"+","+",NA,NA,NA,NA,11,-180.402837392661,384.626364440495,6.64435307048007,0.00266531371375854
"2753",1.42941754861802,NA,NA,NA,NA,NA,NA,0.668841010209629,-0.115089512568889,NA,"+",NA,0.229116500417953,NA,NA,10,-181.573978686905,384.654806688878,6.67279531886288,0.002627678200364
"69",1.56408335877464,NA,NA,-0.345058615071247,NA,NA,NA,0.631900678203832,NA,NA,NA,NA,NA,NA,NA,8,-183.844185770115,384.661344513204,6.6793331431889,0.00261910257525341
"2626",1.43994978510641,0.112126158966806,NA,NA,NA,NA,NA,0.603765242765131,NA,NA,"+",NA,0.305631340394633,NA,NA,10,-181.593564380058,384.693978075185,6.71196670517031,0.00257671401501506
"1607",1.32023862069292,NA,0.210818317804271,-0.281166449512743,NA,NA,NA,0.626704874002345,NA,NA,"+",-0.144562034235312,NA,NA,NA,11,-180.44125479647,384.703199248112,6.72118787809745,0.00256486119747377
"1617",1.36181963195633,NA,NA,NA,NA,0.232293414667082,NA,0.747546423606627,NA,NA,"+",-0.138683133435717,NA,NA,NA,10,-181.623129470883,384.753108256834,6.77109688681958,0.0025016483603746
"3649",1.4138009000728,NA,NA,NA,NA,NA,NA,0.678784000563569,NA,NA,"+",-0.110977245047181,0.257896916818564,NA,NA,10,-181.627764386071,384.76237808721,6.78036671719576,0.00249008026168124
"10819",1.40929957827761,NA,0.318704400967371,NA,NA,NA,NA,0.518495110922792,NA,NA,"+",NA,0.289623966903967,NA,-0.220038057025219,11,-180.471241155525,384.763171966222,6.78116059620754,0.00248909204659632
"785",0.974635854456625,NA,NA,NA,NA,0.177082087491739,NA,NA,NA,"+","+",NA,NA,NA,NA,10,-181.633376874446,384.773603063961,6.79159169394632,0.0024761438606864
"2883",1.37177236157013,NA,0.329697127631718,NA,NA,NA,NA,0.709095607334424,NA,"+","+",NA,0.177425980556358,NA,NA,12,-179.315500568205,384.797667803076,6.81565643306163,0.00244652851139351
"12993",1.42515128451177,NA,NA,NA,NA,NA,NA,0.701502358518615,-0.23527218319441,NA,"+",NA,NA,0.359166841764044,-0.19619572128158,11,-180.491825107819,384.80433987081,6.82232850079538,0.00243838040815418
"2819",1.05415053919912,NA,0.353511262532909,NA,NA,NA,NA,NA,NA,"+","+",NA,0.19390832684936,NA,NA,11,-180.497789990808,384.816269636788,6.83425826677296,0.00242387904679552
