"trophic","Depth_m.rescale","Habitat","Management","Complexity.rescale","no_genera.rescale","Rao.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","Competitive.rescale","Generalist.rescale","StressTolerant.rescale","Weedy.rescale"
"Corallivore",0.824485919830391,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA
"Herbivore",0.638814859366047,0.503580880525576,0.498139680737336,1,NA,0.0363902039155151,NA,NA,NA,NA,NA,NA,NA
"Invertivore",0.589846183190163,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mixed.diet",1,NA,0.185282684187966,1,NA,NA,0.181450119276605,0.174068353296867,0.0580266463219144,NA,0.0333207112587894,NA,0.349571694977712
"Piscivore",0.969662604907651,0.0990982861757911,1,0.169829551319748,0.335572057502456,0.119852374947699,0.32289464330909,NA,0.0380978285947173,NA,NA,0.373292091248983,0.0276943474942441
"Planktivore",0.684897902751505,0.405183994627049,NA,0.858148887889538,0.165168667493016,NA,NA,0.207398118849597,NA,0.417141478380595,0.260429663758933,0.382518080551033,0.341791942472003
