"","Intercept","Competitive.rescale","Complexity.rescale","CWMBranching.rescale","CWMBrooding.rescale","CWMFecundity.rescale","CWMMaxsize.rescale","Depth_m.rescale","Generalist.rescale","Habitat","Management","no_genera.rescale","Rao.rescale","StressTolerant.rescale","Weedy.rescale","df","logLik","AICc","delta","weight"
"4931",2.8594484954217,NA,0.282087524640376,NA,NA,NA,NA,0.55878755597094,NA,"+","+",NA,NA,-0.00817278583759355,NA,12,-44.5223179143513,115.211302495369,6.39979954510004,0.00470228428036771
"867",2.85745828921412,NA,0.278212224271515,NA,NA,NA,-0.0102954949599397,0.54363731422868,NA,"+","+",NA,NA,NA,NA,12,-44.5235274543645,115.213721575396,6.40221862512639,0.00469660011768136
"9027",2.85644960918158,NA,0.277235294912396,NA,NA,NA,NA,0.548471202824919,NA,"+","+",NA,NA,NA,-0.000691045173956187,12,-44.5270930108649,115.220852688396,6.40934973812709,0.00467988394354357
"2883",2.8525010929057,NA,0.275384256187267,NA,NA,NA,NA,0.54285206099744,NA,"+","+",NA,0.000567296493425637,NA,NA,12,-44.5281970932898,115.223060853246,6.41155790297704,0.00467471981726571
"2",2.55741908248335,0.124393963477924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,-50.2554267611545,115.262531374658,6.45102842438864,0.0045833673998123
"963",2.85891792708853,NA,0.279416842076757,NA,NA,NA,NA,0.554856533542903,-0.00853993062623692,"+","+",NA,NA,NA,NA,12,-44.5609144400151,115.288495546697,6.47699259642762,0.00452425029192952
"4163",2.5300987984996,NA,0.294374494989902,NA,NA,NA,NA,-0.17241025892934,NA,NA,NA,NA,NA,0.000297824943401905,NA,9,-48.0408498425733,115.306189481065,6.49468653079562,0.0044844009309722
"2627",2.46553362860575,NA,0.276732699972936,NA,NA,NA,NA,-0.135922859264324,NA,NA,"+",NA,-0.0503200039666502,NA,NA,10,-46.9351342961944,115.377117907457,6.56561495718796,0.00432815217584482
"387",2.65483615729149,NA,0.253963675653732,NA,NA,NA,NA,NA,0.0556853348377783,"+",NA,NA,NA,NA,NA,10,-47.0517555892984,115.610360493665,6.79885754339591,0.00385171848557181
"707",2.47493147642171,NA,0.262436320146753,NA,NA,NA,NA,-0.167879701155079,0.0358464684704828,NA,"+",NA,NA,NA,NA,10,-47.097103348289,115.701056011646,6.88955306137711,0.00368095286587732
"583",2.47694805111731,NA,0.284594405534927,0.0272886900407455,NA,NA,NA,-0.162299189533471,NA,NA,"+",NA,NA,NA,NA,10,-47.1226369538248,115.752123222718,6.94062027244871,0.00358815464568976
"260",2.64313184761173,0.050158618373128,0.266039933445764,NA,NA,NA,NA,NA,NA,"+",NA,NA,NA,NA,NA,10,-47.1791778860803,115.865205087229,7.05370213695988,0.00339090589655944
"1603",2.47059174694179,NA,0.298867873880835,NA,NA,NA,NA,-0.154753585093695,NA,NA,"+",-0.0334304191857693,NA,NA,NA,10,-47.2297993401447,115.966447995358,7.1549450450886,0.00322352556885393
"595",2.47540821326058,NA,0.281009343273708,NA,NA,-0.0250824203956702,NA,-0.157951109147301,NA,NA,"+",NA,NA,NA,NA,10,-47.2783254638517,116.063500242772,7.25199729250267,0.00307083506896517
"291",2.66977817648165,NA,0.288994118726057,NA,NA,NA,-0.0492090696825916,NA,NA,"+",NA,NA,NA,NA,NA,10,-47.2901158443759,116.08708100382,7.27557805355099,0.0030348413616931
"324",2.85949855088377,0.047306783836022,0.269536148768135,NA,NA,NA,NA,0.464893151385189,NA,"+",NA,NA,NA,NA,NA,11,-46.14894109495,116.118571845072,7.30706889480314,0.0029874307375223
"587",2.4753207322018,NA,0.277894588965508,NA,0.00151635731554751,NA,NA,-0.163479994594144,NA,NA,"+",NA,NA,NA,NA,10,-47.3145947848609,116.13603888479,7.32453593452095,0.00296145355309299
"611",2.47777199500381,NA,0.280681749792049,NA,NA,NA,-0.0201951935971902,-0.171564930427049,NA,NA,"+",NA,NA,NA,NA,10,-47.3248080722653,116.156465459599,7.34496250932972,0.00293136130876996
"2307",2.63662623656919,NA,0.283069068543562,NA,NA,NA,NA,NA,NA,"+",NA,NA,-0.0329514199691654,NA,NA,10,-47.3425040184878,116.191857352044,7.38035440177481,0.00287994437409242
